FILEDATE,serialno,sporder,st,PUMA,OFFPoor,wt,Age,Mar,Sex,Education,Race,Hispanic,AGI,Tax_unit,HI_premium,Moop_other,SPM_ID,SPM_Poor,SPM_PovThreshold,SPM_EquivScale,SPM_GeoAdj,SPM_NumPer,SPM_NumKids,SPM_NumAdults,SPM_TenMortStatus,SPM_Resources,SPM_Totval,SPM_SNAPSub,SPM_CapHouseSub,SPM_SchLunch,SPM_EngVal,SPM_WICval,SPM_FedTax,SPM_FedTaxBC,SPM_EITC,SPM_FICA,SPM_StTax,SPM_CapWkCCXpns,SPM_WkXpns,SPM_ChildcareXpns,SPM_Premium,SPM_MedXpns,Medicare_PartB,SPM_wCohabit,SPM_wUI_LT15
20241203,154,2,6,606707,FALSE,37,65,Married,2,3,1,0,133350,1540000000,2600,200,154001,0,27212,0.6535,1.128,2,0,2,1,119294,141000,0,0,0,0,0,13198,13198,0,0,1425,0,0,0,2500,7083,1979,0,0
20241203,155,1,37,3701802,FALSE,153,41,Married,2,4,2,0,205000,1550000000,937,573,155001,0,35714,1.1139,0.8685,4,1,3,1,143812,205000,0,0,163,0,0,27621,29621,0,15683,8526,3474,3474,0,1694,6046,0,0,0
20241203,155,2,37,3701802,FALSE,145,43,Married,1,2,2,0,205000,1550000000,2242,280,155001,0,35714,1.1139,0.8685,4,1,3,1,143812,205000,0,0,163,0,0,27621,29621,0,15683,8526,3474,3474,0,1694,6046,0,0,0
20241203,155,3,37,3701802,FALSE,222,22,Never married,2,0,2,0,0,1550000013,104,3500,155001,0,35714,1.1139,0.8685,4,1,3,1,143812,205000,0,0,163,0,0,27621,29621,0,15683,8526,3474,3474,0,1694,6046,0,0,0
20241203,155,4,37,3701802,FALSE,210,8,Never married,1,0,2,0,205000,1550000000,0,0,155001,0,35714,1.1139,0.8685,4,1,3,1,143812,205000,0,0,163,0,0,27621,29621,0,15683,8526,3474,3474,0,1694,6046,0,0,0
20241203,156,1,47,4702800,FALSE,30,73,Married,2,4,1,0,435705,1560000000,44,2926,156001,0,27340,1,0.8857,3,0,3,2,372001,504900,0,0,0,0,0,92915,92726,0,15426,0,5211,5211,0,3350,19347,6330,0,0
20241203,156,2,47,4702800,FALSE,28,74,Married,1,4,1,0,435705,1560000000,4169,260,156001,0,27340,1,0.8857,3,0,3,2,372001,504900,0,0,0,0,0,92915,92726,0,15426,0,5211,5211,0,3350,19347,6330,0,0
20241203,156,3,47,4702800,FALSE,45,40,Never married,1,4,1,0,60000,1560000013,1244,150,156001,0,27340,1,0.8857,3,0,3,2,372001,504900,0,0,0,0,0,92915,92726,0,15426,0,5211,5211,0,3350,19347,0,0,0
20241203,157,1,36,3604121,FALSE,156,71,Married,2,4,1,0,266135,1570000000,0,495,157001,0,22616,0.6535,1.1211,2,0,2,2,201617,275000,0,0,0,0,0,43304,43304,0,12555,14067,1670,1670,0,0,1786,0,0,0
20241203,157,2,36,3604121,FALSE,142,70,Married,1,4,1,0,266135,1570000000,0,1291,157001,0,22616,0.6535,1.1211,2,0,2,2,201617,275000,0,0,0,0,0,43304,43304,0,12555,14067,1670,1670,0,0,1786,0,0,0
20241203,158,1,32,3200404,FALSE,62,32,Married,1,3,1,0,200000,1580000000,1763,788,158001,0,38245,1,1.036,4,2,2,1,152896,200000,0,0,0,0,0,24521,28521,0,15114,0,3474,3474,0,2082,3995,0,0,0
20241203,158,2,32,3200404,FALSE,77,33,Married,2,4,1,0,200000,1580000000,2400,1126,158001,0,38245,1,1.036,4,2,2,1,152896,200000,0,0,0,0,0,24521,28521,0,15114,0,3474,3474,0,2082,3995,0,0,0
20241203,158,3,32,3200404,FALSE,63,4,Never married,2,0,1,0,200000,1580000000,0,0,158001,0,38245,1,1.036,4,2,2,1,152896,200000,0,0,0,0,0,24521,28521,0,15114,0,3474,3474,0,2082,3995,0,0,0
20241203,158,4,32,3200404,FALSE,63,1,Never married,2,0,1,0,200000,1580000000,0,0,158001,0,38245,1,1.036,4,2,2,1,152896,200000,0,0,0,0,0,24521,28521,0,15114,0,3474,3474,0,2082,3995,0,0,0
20241203,159,1,26,2601500,FALSE,77,94,Widowed,2,2,1,0,25250,1590000000,2999,1250,159001,0,12838,0.4635,0.8973,1,0,1,2,35665,43500,0,0,0,0,0,955,955,0,0,652,0,0,0,2999,6228,1979,0,0
20241203,160,1,36,3602204,FALSE,75,77,Married,1,2,1,0,103125,1600000000,1351,2926,160001,0,18121,0.6535,0.8983,2,0,2,2,87180,106500,0,0,0,0,0,8251,8251,0,0,3405,0,0,0,759,7665,1979,0,0
20241203,160,2,36,3602204,FALSE,83,73,Married,2,1,1,0,103125,1600000000,167,23,160001,0,18121,0.6535,0.8983,2,0,2,2,87180,106500,0,0,0,0,0,8251,8251,0,0,3405,0,0,0,759,7665,1979,0,0
20241203,161,1,12,1209703,FALSE,160,87,Widowed,2,3,1,0,88155,1610000000,0,3124,161001,0,15347,0.4635,1.0727,1,0,1,2,75450,91800,0,0,0,0,0,11248,11248,0,0,0,0,0,0,0,5103,1979,0,0
20241203,162,1,48,4803801,FALSE,105,66,Divorced,2,3,2,0,46850,1620000000,0,4558,162001,0,15735,0.4635,0.9197,1,0,1,1,45329,57000,2412,0,0,234,0,3518,3518,0,2525,0,1737,1737,0,0,6537,1979,0,0
20241203,163,1,48,4800800,FALSE,84,67,Married,1,3,1,0,30500,1630000000,845,1007,163001,0,19346,0.6535,0.959,2,0,2,2,58888,62400,0,0,0,0,0,0,0,0,0,0,0,0,0,423,3512,0,0,0
20241203,163,2,48,4800800,FALSE,99,65,Married,2,3,1,0,30500,1630000000,1,2083,163001,0,19346,0.6535,0.959,2,0,2,2,58888,62400,0,0,0,0,0,0,0,0,0,0,0,0,0,423,3512,0,0,0
20241203,164,1,48,4802006,FALSE,113,39,Married,1,4,1,0,265000,1640000000,4862,5258,164001,0,34847,0.8802,1.0725,3,1,2,1,185084,265000,0,0,0,0,0,41720,43752,0,18227,0,11030,3341,7689.241465,3212,8939,0,0,0
20241203,164,2,48,4802006,FALSE,128,31,Married,2,4,1,0,265000,1640000000,1562,469,164001,0,34847,0.8802,1.0725,3,1,2,1,185084,265000,0,0,0,0,0,41720,43752,0,18227,0,11030,3341,7689.241465,3212,8939,0,0,0
20241203,164,3,48,4802006,FALSE,101,0,Never married,1,0,1,0,265000,1640000000,0,0,164001,0,34847,0.8802,1.0725,3,1,2,1,185084,265000,0,0,0,0,0,41720,43752,0,18227,0,11030,3341,7689.241465,3212,8939,0,0,0
20241203,165,1,36,3601802,FALSE,110,49,Married,1,4,3,0,285000,1650000000,6753,600,165001,0,36915,1,1,4,2,2,1,194621,286200,0,0,0,0,0,46052,48552,0,17019,18757,3407,3407,0,3977,6344,0,0,0
20241203,165,2,36,3601802,FALSE,115,49,Married,2,4,3,0,285000,1650000000,1200,1351,165001,0,36915,1,1,4,2,2,1,194621,286200,0,0,0,0,0,46052,48552,0,17019,18757,3407,3407,0,3977,6344,0,0,0
20241203,165,3,36,3601802,FALSE,137,17,Never married,2,0,3,0,285000,1650000000,0,417,165001,0,36915,1,1,4,2,2,1,194621,286200,0,0,0,0,0,46052,48552,0,17019,18757,3407,3407,0,3977,6344,0,0,0
20241203,165,4,36,3601802,FALSE,145,9,Never married,1,0,3,0,285000,1650000000,0,0,165001,0,36915,1,1,4,2,2,1,194621,286200,0,0,0,0,0,46052,48552,0,17019,18757,3407,3407,0,3977,6344,0,0,0
20241203,166,1,6,605913,FALSE,305,42,Married,2,1,3,0,47000,1660000000,0,13,166001,0,57064,1.2231,1.2639,5,2,3,1,57421,60000,0,0,1644,0,0,-4698,1930,2628,3596,0,3474,3474,0,0,1851,0,0,0
20241203,166,2,6,605913,FALSE,355,44,Married,1,2,3,0,47000,1660000000,0,1500,166001,0,57064,1.2231,1.2639,5,2,3,1,57421,60000,0,0,1644,0,0,-4698,1930,2628,3596,0,3474,3474,0,0,1851,0,0,0
20241203,166,3,6,605913,FALSE,398,14,Never married,2,0,3,0,47000,1660000000,0,0,166001,0,57064,1.2231,1.2639,5,2,3,1,57421,60000,0,0,1644,0,0,-4698,1930,2628,3596,0,3474,3474,0,0,1851,0,0,0
20241203,166,4,6,605913,FALSE,513,12,Never married,1,0,3,0,47000,1660000000,0,0,166001,0,57064,1.2231,1.2639,5,2,3,1,57421,60000,0,0,1644,0,0,-4698,1930,2628,3596,0,3474,3474,0,0,1851,0,0,0
20241203,166,5,6,605913,FALSE,353,40,Married,1,3,3,0,13000,1660000015,0,338,166001,0,57064,1.2231,1.2639,5,2,3,1,57421,60000,0,0,1644,0,0,-4698,1930,2628,3596,0,3474,3474,0,0,1851,0,0,0
20241203,167,1,25,2500201,FALSE,11,53,Never married,1,4,1,0,90000,1670000000,1,500,167001,0,14025,0.4635,0.9803,1,0,1,2,64637,90000,0,0,0,0,0,12061,12061,0,6885,4180,1737,1737,0,0,500,0,0,0
20241203,167,2,25,2500201,FALSE,33,60,Divorced,1,4,1,1,200000,1670000012,1250,56,167003,0,25126,0.8303,0.9803,3,2,1,2,146945,200000,0,0,1644,0,0,30802,34802,0,12014,8840,1737,1737,0,1250,1306,0,0,1
20241203,167,3,25,2500201,FALSE,16,8,Never married,1,0,1,1,200000,1670000012,0,0,167003,0,25126,0.8303,0.9803,3,2,1,2,146945,200000,0,0,1644,0,0,30802,34802,0,12014,8840,1737,1737,0,1250,1306,0,0,1
20241203,167,4,25,2500201,FALSE,17,8,Never married,1,0,1,1,200000,1670000012,0,0,167003,0,25126,0.8303,0.9803,3,2,1,2,146945,200000,0,0,1644,0,0,30802,34802,0,12014,8840,1737,1737,0,1250,1306,0,0,1
20241203,168,1,26,2601300,FALSE,41,34,Married,1,4,1,0,140000,1680000000,521,300,168001,0,31436,1,0.8516,4,2,2,1,102236,140000,0,0,0,0,0,11321,15321,0,10710,4795,1737,1737,0,801,9201,0,0,0
20241203,168,2,26,2601300,FALSE,35,36,Married,2,2,1,0,140000,1680000000,1080,8100,168001,0,31436,1,0.8516,4,2,2,1,102236,140000,0,0,0,0,0,11321,15321,0,10710,4795,1737,1737,0,801,9201,0,0,0
20241203,168,3,26,2601300,FALSE,47,3,Never married,1,0,1,0,140000,1680000000,0,0,168001,0,31436,1,0.8516,4,2,2,1,102236,140000,0,0,0,0,0,11321,15321,0,10710,4795,1737,1737,0,801,9201,0,0,0
20241203,168,4,26,2601300,FALSE,47,0,Never married,1,0,1,0,140000,1680000000,0,0,168001,0,31436,1,0.8516,4,2,2,1,102236,140000,0,0,0,0,0,11321,15321,0,10710,4795,1737,1737,0,801,9201,0,0,0
20241203,169,1,32,3200408,TRUE,45,69,Divorced,1,2,1,0,0,1690000000,0,1,169001,1,18010,0.4635,1.0368,1,0,1,3,6697,5400,1296.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241203,169,2,32,3200408,TRUE,59,67,Married,2,2,1,0,0,1690000012,0,597,169003,1,18010,0.4635,1.0368,1,0,1,3,700,0,1296.5,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0
20241203,170,1,36,3604305,TRUE,85,63,Married,1,1,2,0,0,1700000000,0,135,170001,1,20257,0.4635,1.1661,1,0,1,3,15090,3160,2312,9753,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0
20241203,171,1,26,2600200,TRUE,109,33,Never married,2,3,1,0,9960,1710000000,3660,800,171001,1,26406,0.8303,0.8485,3,2,1,3,14325,9960,4232,0,822,0,0,-4575,0,3600,689,-1421,1537,1537,0,3660,4460,0,0,0
20241203,171,2,26,2600200,TRUE,71,8,Never married,1,0,1,0,9960,1710000000,0,0,171001,1,26406,0.8303,0.8485,3,2,1,3,14325,9960,4232,0,822,0,0,-4575,0,3600,689,-1421,1537,1537,0,3660,4460,0,0,0
20241203,171,3,26,2600200,TRUE,99,2,Never married,2,0,1,0,9960,1710000000,0,0,171001,1,26406,0.8303,0.8485,3,2,1,3,14325,9960,4232,0,822,0,0,-4575,0,3600,689,-1421,1537,1537,0,3660,4460,0,0,0
